Epoch 1: train loss 0.012126880697906017, accuracy 0.9619666048237476
Epoch 2: train loss 0.0041438923217356205, accuracy 0.9814471243042672
Epoch 3: train loss 0.005235047545284033, accuracy 0.9823747680890538
Epoch 4: train loss 0.0028005188796669245, accuracy 0.9897959183673469
Epoch 5: train loss 0.002180845709517598, accuracy 0.9851576994434137
Epoch 6: train loss 0.002496751956641674, accuracy 0.9916512059369202
Epoch 7: train loss 0.0016182560939341784, accuracy 0.9916512059369202
Epoch 8: train loss 0.0011372031876817346, accuracy 0.9935064935064936
Epoch 9: train loss 0.001412591547705233, accuracy 0.9897959183673469
Epoch 10: train loss 0.0005655130371451378, accuracy 0.9990723562152134
Epoch 1: train loss 0.002967300359159708, accuracy 0.987012987012987
Epoch 2: train loss 0.0018552180845290422, accuracy 0.9907235621521335
Epoch 3: train loss 0.0010265099117532372, accuracy 0.9953617810760668
Epoch 4: train loss 0.0010724529856815934, accuracy 0.9925788497217068
Epoch 5: train loss 0.0017426434205844998, accuracy 0.9925788497217068
Epoch 6: train loss 0.0013847792288288474, accuracy 0.9953617810760668
Epoch 7: train loss 0.0007708839839324355, accuracy 0.9962894248608535
Epoch 8: train loss 0.0006400990532711148, accuracy 0.9981447124304267
Epoch 9: train loss 0.000919833779335022, accuracy 0.9953617810760668
Epoch 10: train loss 0.0008287786040455103, accuracy 0.9972170686456401
Epoch 1: train loss 0.0022281103301793337, accuracy 0.9879406307977736
Epoch 2: train loss 0.0017220578156411648, accuracy 0.9916512059369202
Epoch 3: train loss 0.0009135224972851574, accuracy 0.9953617810760668
Epoch 4: train loss 0.0003997184394393116, accuracy 0.9981447124304267
Epoch 5: train loss 0.0005214521661400795, accuracy 0.9990723562152134
Epoch 6: train loss 0.0004789765807799995, accuracy 0.9972170686456401
Epoch 7: train loss 0.0010326949413865805, accuracy 0.9953617810760668
Epoch 8: train loss 0.00023433013120666146, accuracy 1.0
Epoch 9: train loss 0.00020058290101587772, accuracy 1.0
Epoch 10: train loss 0.000131064050947316, accuracy 1.0
Epoch 1: train loss 0.0028053142596036196, accuracy 0.9860853432282004
Epoch 2: train loss 0.0014109660405665636, accuracy 0.9935064935064936
Epoch 3: train loss 0.0004963269457221031, accuracy 0.9972170686456401
Epoch 4: train loss 0.0010508341947570443, accuracy 0.9944341372912802
Epoch 5: train loss 0.0003518755838740617, accuracy 0.9981447124304267
Epoch 6: train loss 0.00021574710262939334, accuracy 0.9990723562152134
Epoch 7: train loss 0.0003088114899583161, accuracy 0.9990723562152134
Epoch 8: train loss 0.00043024439946748316, accuracy 0.9972170686456401
Epoch 9: train loss 0.000752376567106694, accuracy 0.9962894248608535
