Epoch 1: train loss 0.026165081188082695, accuracy 0.9117199391171994
Epoch 2: train loss 0.002985381754115224, accuracy 0.9802130898021308
Epoch 3: train loss 0.0030085609760135412, accuracy 0.9817351598173516
Epoch 4: train loss 0.002576851984485984, accuracy 0.9863013698630136
Epoch 5: train loss 0.0025237249210476875, accuracy 0.9840182648401826
Epoch 6: train loss 0.002663189545273781, accuracy 0.987062404870624
Epoch 7: train loss 0.025732699781656265, accuracy 0.936834094368341
Epoch 8: train loss 0.003147919662296772, accuracy 0.9855403348554034
Epoch 9: train loss 0.0018093273974955082, accuracy 0.9885844748858448
Epoch 10: train loss 0.002060034079477191, accuracy 0.9878234398782344
Epoch 1: train loss 0.0028440020978450775, accuracy 0.9855403348554034
Epoch 2: train loss 0.002081893850117922, accuracy 0.9863013698630136
Epoch 3: train loss 0.0019784385804086924, accuracy 0.9878234398782344
Epoch 4: train loss 0.001279049669392407, accuracy 0.9931506849315068
Epoch 5: train loss 0.0007394864223897457, accuracy 0.9961948249619482
Epoch 6: train loss 0.0004975375486537814, accuracy 0.997716894977169
Epoch 7: train loss 0.000511275720782578, accuracy 0.9969558599695586
Epoch 8: train loss 0.00042587422649376094, accuracy 0.9969558599695586
Epoch 9: train loss 0.00027141167083755136, accuracy 0.9984779299847792
Epoch 10: train loss 0.00015491299564018846, accuracy 1.0
Epoch 1: train loss 0.0022105888929218054, accuracy 0.982496194824962
Epoch 2: train loss 0.0010865600779652596, accuracy 0.9954337899543378
Epoch 3: train loss 0.0011373122688382864, accuracy 0.9923896499238964
Epoch 4: train loss 0.0005467148730531335, accuracy 0.997716894977169
Epoch 5: train loss 0.0004899312625639141, accuracy 0.997716894977169
Epoch 6: train loss 0.0002119151467923075, accuracy 1.0
Epoch 7: train loss 0.0003420997236389667, accuracy 1.0
Epoch 8: train loss 0.0010124928085133433, accuracy 0.9931506849315068
Epoch 9: train loss 0.00016969586431514472, accuracy 0.9992389649923896
Epoch 10: train loss 7.604996062582359e-05, accuracy 1.0
Epoch 1: train loss 0.0014075199142098427, accuracy 0.9923896499238964
Epoch 2: train loss 0.0008851969614624977, accuracy 0.9946727549467276
Epoch 3: train loss 0.0007254802039824426, accuracy 0.9961948249619482
Epoch 4: train loss 0.00039327130070887506, accuracy 0.9969558599695586
Epoch 5: train loss 0.0004192684718873352, accuracy 0.9961948249619482
Epoch 6: train loss 0.0001255837851203978, accuracy 1.0
Epoch 7: train loss 7.777774590067565e-05, accuracy 1.0
Epoch 8: train loss 5.792867887066677e-05, accuracy 1.0
Epoch 9: train loss 4.890752097708173e-05, accuracy 1.0
Epoch 10: train loss 3.9370061131194234e-05, accuracy 1.0
Epoch 1: train loss 0.0011716507142409682, accuracy 0.9916286149162862
Epoch 2: train loss 0.0009331270703114569, accuracy 0.9939117199391172
Epoch 3: train loss 0.0006068042130209506, accuracy 0.9961948249619482
Epoch 4: train loss 0.00016091144061647356, accuracy 1.0
Epoch 5: train loss 0.00014322692004498094, accuracy 1.0
Epoch 6: train loss 0.0001562068791827187, accuracy 0.9992389649923896
Epoch 7: train loss 7.144497067201883e-05, accuracy 1.0
Epoch 8: train loss 4.889084812020883e-05, accuracy 1.0
Epoch 9: train loss 4.1663675801828504e-05, accuracy 1.0
Epoch 10: train loss 3.329505489091389e-05, accuracy 1.0
Epoch 1: train loss 0.001230432651937008, accuracy 0.9931506849315068
Epoch 2: train loss 0.0007708052871748805, accuracy 0.9969558599695586
Epoch 3: train loss 0.000467829464469105, accuracy 0.9961948249619482
Epoch 4: train loss 0.00015619905025232583, accuracy 1.0
Epoch 5: train loss 9.045284241437912e-05, accuracy 1.0
Epoch 6: train loss 5.515330485650338e-05, accuracy 1.0
Epoch 7: train loss 4.7645342419855297e-05, accuracy 1.0
Epoch 8: train loss 3.67035208910238e-05, accuracy 1.0
Epoch 9: train loss 3.156726961606182e-05, accuracy 1.0
Epoch 10: train loss 2.7734364266507328e-05, accuracy 1.0
Epoch 1: train loss 0.001651566824875772, accuracy 0.9908675799086758
Epoch 2: train loss 0.0005648340447805822, accuracy 0.9961948249619482
Epoch 3: train loss 0.00018531098612584174, accuracy 0.9992389649923896
Epoch 4: train loss 8.576049003750086e-05, accuracy 1.0
Epoch 5: train loss 5.736957973567769e-05, accuracy 1.0
Epoch 6: train loss 4.833595812669955e-05, accuracy 1.0
Epoch 7: train loss 3.920356175513007e-05, accuracy 1.0
Epoch 8: train loss 3.1674153433414176e-05, accuracy 1.0
Epoch 9: train loss 2.729948391788639e-05, accuracy 1.0
Epoch 10: train loss 2.4450600903946906e-05, accuracy 1.0
Epoch 1: train loss 0.0018389433389529586, accuracy 0.9939117199391172
Epoch 2: train loss 0.0008188423817045987, accuracy 0.9969558599695586
Epoch 3: train loss 0.00019786199845839292, accuracy 0.9992389649923896
Epoch 4: train loss 7.16583090252243e-05, accuracy 1.0
Epoch 5: train loss 4.98041590617504e-05, accuracy 1.0
Epoch 6: train loss 4.299787542549893e-05, accuracy 1.0
Epoch 7: train loss 3.300202661193907e-05, accuracy 1.0
Epoch 8: train loss 2.8747832402586937e-05, accuracy 1.0
Epoch 9: train loss 2.5161492885672487e-05, accuracy 1.0
Epoch 10: train loss 2.2965909010963514e-05, accuracy 1.0
Epoch 1: train loss 0.00037806585896760225, accuracy 0.997716894977169
Epoch 2: train loss 0.0008662923937663436, accuracy 0.997716894977169
Epoch 3: train loss 0.0002897916710935533, accuracy 0.9984779299847792
Epoch 4: train loss 5.5517077271360904e-05, accuracy 1.0
Epoch 5: train loss 5.144648457644507e-05, accuracy 1.0
Epoch 6: train loss 2.812724414980039e-05, accuracy 1.0
Epoch 7: train loss 2.3263601178769022e-05, accuracy 1.0
Epoch 8: train loss 2.1010589989600703e-05, accuracy 1.0
Epoch 9: train loss 1.866481761680916e-05, accuracy 1.0
Epoch 10: train loss 1.7136690075858496e-05, accuracy 1.0
